Undergraduate_GPA,Relevant_DataScience_Experience ,Apply_Year,GRE_Score,IELTS_Overall,TOEFL_Overall,DataScience_Skill_Confidence,Admit_label,Degree_seeking_Type_PHD,Highest_degree_Masters,Highest_degree_Other_three_year_degree,Country_Canada,Country_Europe,Country_India,Country_United States,Uploaded_Statement_of_Purpose_Status_Y,Uploaded_Resume_Status_Y,Gender_M
3,1.2400693393340365,2021,304,8,100,4,1,True,False,False,False,False,False,True,False,True,True
3,5.3156052567460765,2020,321,8,100,0,1,True,False,False,False,False,False,False,True,True,True
3,5.670394119249232,2022,310,9,90,6,0,True,True,False,False,False,False,True,False,True,False
3,1.4230383636850288,2022,307,7,100,8,1,False,False,True,False,True,False,False,False,True,False
3,7.108266308195879,2022,308,5,100,0,1,True,False,False,False,False,True,False,True,False,True
3,3.535262759831407,2020,312,8,100,0,0,False,True,False,True,False,False,False,True,True,True
3,1.1427672607353898,2022,302,9,90,0,1,True,False,False,False,False,False,True,False,False,True
3,6.114012784555164,2020,302,9,100,6,1,True,False,False,True,False,False,False,False,True,False
3,6.319796000134183,2020,306,5,90,9,0,False,False,False,False,True,False,False,False,True,False
3,5.11436378132366,2022,302,6,100,2,0,True,False,False,False,False,False,True,True,True,True
3,6.827724425620425,2022,310,7,90,8,1,True,False,True,True,False,False,False,True,False,False
3,5.8989837762453705,2020,313,5,100,8,0,False,False,False,True,False,False,False,False,True,True
3,7.057645897815925,2020,320,5,90,6,0,True,False,False,False,True,False,False,True,True,False
3,3.4711043878838357,2020,309,6,90,2,0,True,False,False,False,False,False,False,True,True,False
3,5.98077702479554,2020,319,6,90,9,1,False,False,True,False,True,False,False,False,True,True
3,7.998012507432355,2022,308,8,100,7,1,False,False,False,False,False,False,True,True,True,True
3,5.799449580156954,2020,311,6,90,5,0,True,False,False,False,False,False,True,True,True,False
3,0.9134702418970573,2020,307,6,90,3,1,False,False,True,False,False,True,False,True,False,True
3,4.146549779433464,2020,311,7,90,7,1,True,False,True,True,False,False,False,True,True,False
3,4.6987823299442235,2020,308,7,90,2,0,True,False,True,False,False,False,True,True,True,False
3,1.3936854005711279,2020,321,7,90,0,1,False,False,False,False,False,False,False,False,True,True
3,7.703133073424301,2021,317,5,90,3,0,False,False,True,False,False,False,False,True,True,True
3,1.4046382210769304,2021,323,7,90,8,0,False,False,True,False,True,False,False,True,True,False
3,1.4204633577057821,2021,316,7,90,6,0,False,False,False,False,False,False,True,True,False,True
3,7.32133710379644,2022,310,9,100,0,1,True,False,True,False,False,False,True,True,True,False
3,3.7216434649733685,2020,320,7,90,0,0,False,False,False,False,False,True,False,False,False,True
3,0.5055062341961296,2022,301,5,90,0,1,False,True,False,False,False,True,False,False,False,False
3,4.785499999508229,2020,322,9,90,5,0,True,False,True,False,False,True,False,True,True,True
3,4.814610789064383,2021,320,5,90,9,0,True,True,False,False,False,False,True,False,True,False
3,0.5160060694924944,2020,318,5,90,9,1,True,False,False,False,True,False,False,True,True,True
3,7.780179965069296,2022,313,9,100,8,1,True,False,True,False,True,False,False,False,False,False
3,4.352239722356605,2022,322,9,100,2,0,True,False,False,False,True,False,False,True,False,True
3,4.478365777438114,2020,302,9,90,2,1,True,True,False,False,True,False,False,True,True,False
3,4.160923316019156,2022,305,9,100,6,1,True,False,False,False,False,False,False,False,True,True
3,4.88585423715696,2021,303,5,100,5,1,True,False,True,False,False,False,True,True,False,False
3,2.1143980221900396,2020,311,9,100,8,0,True,False,True,True,False,False,False,False,False,True
3,2.2979307837987264,2021,301,6,100,2,0,False,True,False,False,False,False,True,True,False,True
3,4.090712718369062,2021,324,7,90,6,1,False,False,False,False,True,False,False,False,True,False
3,6.4534868381086365,2022,305,7,100,6,1,True,False,True,False,False,False,False,False,True,True
3,0.39891661195343087,2020,304,6,100,8,0,False,True,False,False,False,False,False,False,True,True
3,4.827233697761968,2021,304,5,90,5,0,True,False,True,False,False,False,True,False,False,False
3,6.454225140050512,2021,307,5,90,8,0,True,False,True,True,False,False,False,True,True,False
3,1.2553381762978173,2020,304,7,90,5,1,True,False,False,False,True,False,False,True,True,True
3,0.12018033584453036,2022,323,8,90,1,1,True,False,True,False,False,False,False,False,False,True
3,2.5017063611316646,2021,307,6,100,5,1,False,False,False,False,True,False,False,True,True,True
3,4.705149653836785,2020,300,6,100,4,0,False,False,True,False,True,False,False,True,False,True
3,1.1062653872379817,2020,319,7,100,5,1,True,True,False,False,True,False,False,True,True,False
3,3.408978967779884,2021,308,9,100,8,0,False,False,True,False,False,True,False,False,True,True
3,4.4185719789942235,2021,313,8,100,5,1,False,False,False,False,True,False,False,False,True,False
3,4.791064758058537,2021,301,5,100,4,1,True,False,False,False,True,False,False,True,True,True
3,2.195293768003001,2022,310,5,90,4,0,True,True,False,True,False,False,False,True,True,True
3,3.200237087890331,2022,303,5,100,2,0,False,False,True,True,False,False,False,False,True,True
3,6.22671383254047,2020,303,5,90,4,0,False,False,True,False,False,True,False,True,True,False
3,7.529717552965484,2020,316,6,100,4,0,True,True,False,False,False,True,False,True,False,True
3,6.895042648946058,2021,315,6,90,9,0,True,False,True,False,True,False,False,True,False,True
3,4.514268013867455,2020,306,9,90,2,0,False,False,True,False,False,False,False,False,True,True
3,3.2823424235515724,2022,311,6,90,6,1,True,False,False,False,False,False,False,False,False,True
3,2.6636529149713457,2020,316,9,100,7,0,True,False,True,False,False,False,True,False,False,True
3,0.9996525286721445,2020,304,9,100,6,0,True,False,True,False,False,False,False,True,True,False
3,0.8524099777289038,2021,307,5,100,1,1,False,True,False,False,False,False,False,True,False,True
3,5.506860999309262,2021,319,5,100,6,0,False,True,False,True,False,False,False,True,True,True
3,2.078355329369283,2022,304,6,100,0,1,True,False,False,False,False,False,True,False,True,False
3,2.0372934914595744,2020,310,6,90,2,0,False,False,True,False,False,False,True,False,False,False
3,7.985560435822285,2020,318,9,100,9,0,True,False,True,True,False,False,False,False,True,False
3,1.5034076629903632,2020,320,7,90,3,1,False,False,True,False,False,False,False,True,False,False
3,1.1844780759106373,2021,318,5,90,5,1,False,False,False,False,False,False,False,False,False,True
3,0.7894818220793649,2022,303,8,100,8,1,False,False,False,False,False,False,True,True,False,False
3,4.638442761334369,2020,310,7,100,8,1,True,True,False,False,False,False,False,True,False,False
3,5.0229106080168116,2020,318,5,90,5,1,True,False,False,False,False,False,True,False,False,False
3,2.9218234100550555,2020,304,5,100,8,0,True,False,True,False,False,False,False,True,False,True
3,4.283306684091742,2020,301,6,90,5,0,False,False,True,False,True,False,False,True,False,True
3,6.3071962475593,2022,324,8,90,6,1,True,False,False,True,False,False,False,False,False,False
3,6.544833346573987,2022,318,8,100,5,1,True,False,True,False,False,True,False,True,True,True
3,7.663296605725186,2022,316,5,90,2,0,True,False,True,False,True,False,False,False,True,True
3,6.594143887382996,2021,320,9,100,0,1,True,False,False,False,False,False,False,False,False,True
3,4.518731493739413,2020,319,8,100,3,0,False,False,False,False,False,True,False,False,False,False
3,1.4372557266947679,2020,317,7,90,0,1,True,False,True,False,True,False,False,True,False,True
3,0.7981084616227392,2020,314,9,100,9,0,True,False,True,True,False,False,False,False,True,True
3,0.4360951192868736,2020,315,6,90,0,1,False,False,True,False,False,True,False,False,False,True
3,5.33220665428307,2022,311,5,100,4,0,True,True,False,False,False,True,False,False,False,False
3,6.460290043183945,2021,307,5,90,7,0,False,True,False,True,False,False,False,True,False,True
3,4.069471605472632,2021,324,7,100,0,0,False,True,False,False,True,False,False,True,False,False
3,0.4377133986691195,2020,305,7,100,4,1,False,False,False,False,False,True,False,True,False,True
3,4.283764596730705,2022,323,6,90,7,0,True,True,False,True,False,False,False,False,False,False
3,7.485994092196403,2021,317,6,100,2,0,False,False,False,False,True,False,False,False,False,True
3,4.780905527459684,2021,310,8,100,5,1,False,False,False,False,False,False,False,False,True,True
3,6.475419907702519,2020,305,9,90,6,1,False,True,False,False,False,False,True,True,False,False
3,6.401221187134005,2021,316,5,100,9,1,True,True,False,False,False,False,False,False,True,False
3,7.457032798245223,2020,309,8,100,7,1,False,True,False,False,False,False,False,False,False,True
3,6.161830125198986,2022,318,6,90,2,0,False,False,True,False,False,False,True,True,True,True
3,5.9816041121047165,2020,314,7,100,0,0,False,True,False,False,False,False,False,True,False,True
3,1.8728213197651247,2021,315,8,100,9,1,True,False,True,False,False,False,False,False,True,True
3,0.4794012425686516,2020,322,7,100,7,0,False,False,False,True,False,False,False,False,True,False
3,4.140795720430462,2020,316,9,100,3,1,False,False,True,True,False,False,False,False,False,True
3,0.9954736635740415,2020,321,7,100,1,0,True,True,False,False,True,False,False,True,True,True
3,7.69756701022393,2020,306,5,100,0,0,True,False,False,False,False,True,False,True,False,False
3,2.3193981010642286,2020,318,9,100,5,1,True,False,False,False,True,False,False,False,False,False
3,6.823553627074345,2020,307,7,90,0,1,False,False,False,True,False,False,False,True,False,True
3,3.1009970016196746,2021,307,8,100,5,0,False,False,True,True,False,False,False,True,True,False
3,2.5855539988590195,2020,304,5,90,7,0,False,True,False,False,False,False,True,False,True,False
3,7.481268579012969,2021,310,5,90,2,1,False,False,False,False,False,False,True,False,True,True
3,2.906580576689792,2020,301,6,100,5,1,True,False,False,True,False,False,False,True,False,False
3,3.1223032693050916,2022,317,6,90,5,0,False,False,False,False,False,False,False,True,False,False
3,0.8487342369032733,2020,320,8,90,4,0,True,False,True,False,True,False,False,True,True,False
3,5.363573322260074,2021,303,6,90,2,0,False,False,True,True,False,False,False,True,False,False
3,2.310715315820108,2021,311,7,100,5,0,False,True,False,True,False,False,False,False,False,True
3,4.684833342716058,2022,303,6,90,0,1,False,False,True,False,False,False,True,True,True,False
3,4.730813632425676,2020,304,5,90,3,1,True,False,False,False,True,False,False,False,False,False
3,5.753597564766136,2022,316,8,100,7,0,True,True,False,False,True,False,False,True,False,False
3,5.96193188937953,2020,322,7,90,5,1,True,False,False,False,False,True,False,False,True,False
3,4.115619475212315,2020,318,5,90,3,1,True,False,False,True,False,False,False,True,True,True
3,2.647935580827224,2021,309,5,90,5,0,False,False,True,False,False,True,False,False,True,True
3,6.699607158677871,2022,313,9,90,0,0,False,True,False,False,False,False,True,False,False,False
3,2.4789251952678777,2022,314,6,90,2,1,False,False,True,False,False,True,False,False,False,False
3,4.060072755754652,2021,313,7,100,6,1,False,False,True,False,False,False,False,True,False,True
3,3.2100206656298242,2021,315,8,100,0,1,False,True,False,True,False,False,False,True,True,False
3,6.840627087757505,2022,307,8,100,1,1,True,False,False,True,False,False,False,True,False,True
3,3.4553482491666303,2021,308,8,100,2,1,True,False,False,False,True,False,False,True,True,True
3,3.0887935106998743,2020,307,9,90,3,1,False,True,False,False,False,True,False,False,False,False
3,5.5185895431811,2022,310,7,100,5,1,False,False,False,False,True,False,False,True,False,False
3,4.819528878891542,2022,311,5,100,8,0,False,True,False,False,False,True,False,False,False,False
3,0.8579746679667686,2021,313,9,100,0,0,False,True,False,False,False,True,False,False,False,True
3,4.065350450751706,2020,317,6,100,3,0,True,False,True,False,False,False,True,True,False,True
3,5.883827106665981,2022,322,5,90,3,1,False,True,False,False,False,True,False,False,False,False
3,7.93659811673085,2022,311,8,100,5,0,False,False,True,False,True,False,False,False,False,False
3,5.033174671762553,2020,303,6,100,0,1,False,False,False,False,False,True,False,True,True,True
3,2.962344531530542,2021,312,7,100,8,0,False,False,False,False,False,True,False,True,False,False
3,1.8092127984169473,2021,320,7,90,0,1,True,False,False,True,False,False,False,False,True,True
3,6.982641873226562,2021,315,9,100,9,0,False,False,False,True,False,False,False,True,False,False
3,6.516521696908022,2021,309,7,90,0,0,True,False,True,True,False,False,False,False,True,True
3,1.871382566235079,2020,320,8,100,2,0,True,False,False,False,False,False,False,True,True,True
3,1.6050567211725877,2020,310,9,100,0,1,False,True,False,True,False,False,False,True,True,False
3,5.721094214489405,2022,324,9,90,3,0,False,True,False,False,False,False,False,False,False,False
3,2.5196164953500757,2022,311,8,90,6,1,False,True,False,False,False,False,False,True,True,False
3,2.4511903868956626,2020,317,7,100,8,0,False,False,True,False,True,False,False,True,True,True
3,1.218321976541242,2022,301,6,100,3,0,False,False,False,True,False,False,False,True,True,False
3,2.1118041576786393,2020,318,9,100,5,0,True,False,False,False,False,True,False,False,False,True
3,3.4200604607411966,2021,304,6,90,1,0,True,False,False,False,False,False,True,False,True,True
3,5.862706698179324,2020,319,6,90,6,0,True,False,True,False,False,True,False,True,True,True
3,2.690464755309998,2020,309,6,90,7,0,True,True,False,True,False,False,False,False,True,True
3,2.6288347158387415,2022,315,6,90,2,1,True,True,False,False,False,True,False,False,True,False
3,2.2793060204194866,2020,311,8,90,0,0,False,False,False,True,False,False,False,False,False,True
3,3.826269340088344,2021,308,5,90,1,0,False,True,False,True,False,False,False,True,True,False
3,1.4450935835305225,2021,302,7,100,1,0,True,True,False,False,False,True,False,True,True,False
3,3.8850458722570043,2022,300,5,100,5,0,False,False,True,False,False,False,False,True,True,True
3,5.633404449557519,2022,304,5,100,6,0,False,False,True,False,True,False,False,False,True,True
3,0.23832403226097743,2020,307,9,90,4,1,True,False,True,False,True,False,False,False,True,True
3,0.07823504244609492,2022,316,5,100,9,0,True,False,True,False,True,False,False,True,False,True
3,0.6009832812360738,2021,300,5,100,0,0,True,False,False,False,True,False,False,True,True,False
3,4.285280493824897,2022,312,8,90,4,1,False,False,True,False,False,False,True,True,False,True
3,6.835640665483227,2022,305,6,100,7,1,True,True,False,True,False,False,False,True,True,True
3,0.039075728162015544,2021,314,5,90,9,0,True,False,False,False,False,False,True,False,True,True
3,7.493290436677448,2020,306,5,90,1,1,False,True,False,False,True,False,False,True,False,True
3,0.8502280925642864,2020,323,9,100,7,1,False,True,False,False,True,False,False,False,False,True
3,6.73586822446581,2022,307,7,100,5,1,True,True,False,False,False,True,False,True,False,False
3,3.862838119863574,2021,302,9,100,0,1,False,False,True,False,True,False,False,True,True,True
3,5.274859098230752,2021,314,7,100,9,1,True,False,True,True,False,False,False,False,False,True
3,4.085463875577459,2021,303,7,90,8,0,False,False,False,False,True,False,False,True,False,False
3,3.816385801434837,2020,308,7,90,7,1,True,False,False,False,True,False,False,True,True,False
3,6.679195426915132,2021,310,8,90,4,0,False,False,True,False,False,False,True,False,True,True
3,6.047091036542531,2021,320,8,100,3,1,False,True,False,True,False,False,False,False,True,False
3,3.8672178921840334,2020,313,6,100,0,1,False,False,False,False,False,False,False,True,True,False
3,0.8930874351684928,2021,308,7,90,1,1,True,False,True,False,False,True,False,False,False,False
3,0.9232236745152651,2020,311,8,90,4,0,True,False,True,False,False,False,False,False,False,True
3,6.412315685752604,2022,304,8,100,4,0,True,False,True,False,False,False,True,True,False,True
3,4.235124970780268,2022,320,5,100,7,1,False,True,False,False,True,False,False,True,True,False
3,3.852713121754901,2022,324,7,100,4,0,False,False,True,False,False,True,False,True,True,True
3,5.444534730885721,2022,305,9,100,4,1,False,False,True,True,False,False,False,False,True,True
3,6.8707326673140825,2022,318,5,90,2,1,True,False,True,False,False,True,False,False,True,False
3,5.030985155306442,2020,304,8,90,6,1,False,False,True,False,False,False,True,True,False,True
3,6.102783218771832,2020,300,8,90,5,1,True,False,False,False,True,False,False,True,False,True
3,6.122164192935656,2020,324,8,100,4,0,True,False,False,False,False,False,True,True,True,True
3,2.8500915903436725,2021,309,8,90,1,0,True,False,True,True,False,False,False,True,True,True
3,2.1926655651279656,2022,313,9,90,3,1,True,True,False,False,False,False,False,False,True,True
3,6.409312537401269,2021,322,6,100,2,0,True,False,False,False,True,False,False,True,True,True
3,3.017430334273948,2021,316,6,100,6,1,False,False,True,False,True,False,False,False,False,True
3,7.2266880521816415,2021,310,7,100,8,1,False,False,False,False,False,False,True,False,True,True
3,0.557525573840957,2022,303,8,100,2,1,False,False,False,False,False,False,True,True,False,False
3,0.4657400966027172,2021,317,7,100,6,0,False,True,False,False,False,False,True,False,True,True
3,7.416033280811266,2022,318,9,90,8,0,False,False,True,False,True,False,False,False,True,False
3,5.187639313451479,2022,303,7,100,4,1,False,False,True,False,False,False,True,False,True,False
3,3.0367948515866585,2022,311,6,90,7,0,True,True,False,False,False,True,False,True,True,True
3,6.040483318529462,2021,313,6,90,7,1,False,True,False,False,False,True,False,True,True,True
3,5.37861447994913,2022,317,6,100,6,0,True,False,True,False,False,True,False,True,True,False
3,4.24960837455677,2022,300,7,100,0,1,True,False,True,False,True,False,False,True,True,False
3,0.7909867413012108,2020,319,8,100,4,0,True,True,False,False,False,False,True,True,True,False
3,6.497436698342012,2021,324,5,90,9,1,True,False,False,True,False,False,False,True,False,True
3,6.928185525444998,2020,310,6,90,8,1,True,False,False,False,False,False,True,False,True,False
3,1.3773495084211929,2020,324,7,100,8,1,False,True,False,False,True,False,False,False,True,False
3,6.8040932158165335,2021,324,5,90,5,1,False,False,False,False,False,True,False,False,True,True
3,7.022778488132514,2020,318,6,100,7,0,False,True,False,False,True,False,False,False,False,True
3,4.395428898308128,2022,300,6,100,3,1,True,False,False,False,False,False,True,False,False,False
3,5.249432289781496,2020,300,9,90,8,1,False,False,False,False,True,False,False,False,True,True
3,3.057898560115931,2020,302,6,100,1,0,False,False,True,True,False,False,False,False,True,True
3,2.254333180074128,2022,313,5,90,1,0,True,False,True,False,True,False,False,False,False,True
3,5.775865175613158,2020,307,5,100,6,0,True,False,False,False,False,False,False,True,False,False
3,6.895001192126466,2022,314,8,100,3,0,False,False,False,False,True,False,False,True,False,True
3,5.23262042364598,2021,303,5,90,3,0,True,False,True,False,False,False,True,False,True,False
3,4.092724885172394,2020,310,7,100,1,1,True,False,True,False,False,False,False,False,True,True
3,1.2713981347533725,2021,307,7,100,8,0,True,False,True,False,False,True,False,True,False,True
3,0.4276697008385453,2020,306,6,100,1,1,False,True,False,False,False,False,True,True,False,True
3,3.5655343219739715,2022,323,8,90,8,0,True,False,False,True,False,False,False,True,True,False
3,0.3947965095793702,2020,301,6,100,4,1,True,False,True,False,True,False,False,False,True,True
3,4.554677055257801,2021,307,8,90,4,0,True,False,False,False,True,False,False,False,True,False
3,3.0618335305421702,2022,324,9,100,6,0,True,True,False,False,False,False,True,True,True,False
3,6.057512957455756,2022,321,8,100,4,0,True,True,False,False,True,False,False,False,False,True
3,2.4451879746894676,2021,318,9,90,5,1,False,False,True,False,True,False,False,False,True,True
3,4.743861607739457,2021,322,9,90,2,1,False,True,False,False,False,True,False,True,True,True
3,4.301468174040804,2020,308,6,90,2,1,True,False,False,False,True,False,False,True,False,True
3,0.037699404177929274,2020,315,7,100,2,0,True,False,True,False,True,False,False,True,True,False
3,0.5791151861144828,2022,307,8,100,0,1,False,False,False,False,False,True,False,False,False,False
3,2.322945699888164,2021,307,6,100,2,0,False,False,False,False,True,False,False,True,False,False
3,7.057880648166121,2021,310,9,100,3,0,True,True,False,False,False,True,False,True,True,False
3,1.1761196391982285,2020,306,9,90,5,0,True,True,False,True,False,False,False,True,True,False
3,5.687154643684333,2020,320,5,90,3,0,False,True,False,False,True,False,False,False,False,True
3,7.786932529218299,2022,301,5,100,2,1,True,True,False,False,False,False,True,False,False,True
3,6.324540421529242,2021,320,8,90,7,0,True,True,False,False,False,False,False,False,True,False
3,1.9435628934963516,2021,304,7,90,4,0,False,False,True,True,False,False,False,True,True,True
3,7.266922083304653,2021,317,5,100,2,1,False,False,False,False,True,False,False,False,True,False
3,0.7448572520671206,2021,310,9,90,3,0,False,False,False,False,False,False,True,False,False,True
3,3.745135534965886,2020,316,6,90,3,0,False,False,False,False,False,False,False,True,True,True
3,7.10033526181131,2020,320,7,90,2,0,True,False,False,False,False,True,False,False,False,True
3,5.130125674054958,2020,305,8,100,8,0,True,True,False,False,True,False,False,False,True,False
3,3.3091565178215907,2022,312,6,90,3,1,True,False,False,False,False,True,False,False,False,True
3,2.34250293389735,2021,306,8,100,7,1,True,False,True,True,False,False,False,False,False,False
3,3.0007952425467996,2020,310,6,100,8,0,False,False,True,False,False,False,False,False,False,True
3,4.07153424807429,2021,317,6,100,6,1,False,False,False,False,False,False,False,False,True,False
3,2.552351438982459,2020,305,7,90,2,0,True,False,False,False,False,True,False,False,True,True
3,7.751742896658397,2022,311,8,90,0,0,True,False,True,False,False,True,False,False,False,False
3,7.464621224529161,2020,323,5,90,8,0,True,False,True,True,False,False,False,True,True,True
